timestamp_local,timestamp_utc,month,zen,azi,dni,dhi,ghi,T_ambient,tilt_analytic_2D,Isc_2D,Voc_2D,Imp_2D,Vmp_2D,Pmax_2D,FF_2D,tilt_fixed_3D,Isc_3D,Imp_3D,Vmp_3D,Voc_3D,Pmax_3D,FF_3D
2024-08-21 10:00:00+05:30,2024-08-21 04:30:00+00:00,Aug,34.81656994790019,87.64535732808275,754.0962118866814,173.00662672339956,792.0987098734415,21.53,1.6366232273140942,10.97,3.815,10.37,3.1652,32.8272,0.7847,31,16.374028246462196,15.414643352862628,3.1575050100200395,3.815,48.671813614335846,0.7791614403184939
2024-08-21 11:00:00+05:30,2024-08-21 05:30:00+00:00,Aug,20.20672436491691,90.63934405576651,793.1370101910094,187.99009713432997,932.308494800777,22.24,0.23531179977980415,12.92,3.815,12.21,3.1575,38.5506,0.7822,31,17.931765308332146,16.885967430745904,3.1651503006012023,3.815,53.44662488936751,0.7812727855976442
2024-08-21 12:00:00+05:30,2024-08-21 06:30:00+00:00,Aug,5.638020590192227,100.06221239086341,809.2435019626653,194.90293432691453,1000.2314304259768,24.13,0.9881540540547606,13.86,3.815,13.08,3.1728,41.4991,0.7847,31,18.60903973058335,17.506875511915982,3.188086172344689,3.815,55.81342774049919,0.7861767386752657
2024-08-21 13:00:00+05:30,2024-08-21 07:30:00+00:00,Aug,9.166755108223285,264.3872874262937,807.084436466055,193.94616862113662,990.7226078317909,24.83,0.9041963201576759,13.73,3.815,12.96,3.1804,41.2253,0.787,31,18.50931143294199,17.4131324722236,3.1957314629258518,3.815,55.647695309580776,0.7880656124527378
2024-08-21 14:00:00+05:30,2024-08-21 08:30:00+00:00,Aug,23.768192813873654,270.11017059227623,786.0530990759102,185.09885433979207,904.477559792611,24.2,0.04851793981276375,12.53,3.815,11.83,3.1881,37.7049,0.7886,31,17.645340238413745,16.60425620026604,3.188086172344689,3.815,52.93579959413673,0.7863663089341252
2024-08-21 15:00:00+05:30,2024-08-21 09:30:00+00:00,Aug,38.377264838944335,272.84117367954366,739.8702626496286,168.0532922010957,748.0562352292635,23.22,2.2479752748826445,10.35,3.815,9.79,3.1881,31.1998,0.7903,31,15.849364323426684,14.928463210495496,3.1727955911823646,3.815,47.36496225738824,0.7833409039068593
2024-08-21 16:00:00+05:30,2024-08-21 10:30:00+00:00,Aug,52.95304422381763,275.20119318193156,651.6680428709276,141.52897464357528,534.1184660224885,21.77,6.848202065338674,7.29,3.815,6.91,3.1728,21.9085,0.7876,31,12.90717323801236,12.18941759817097,3.134569138276553,3.815,38.20857221679182,0.7759524841022475
2024-09-21 09:00:00+05:30,2024-09-21 03:30:00+00:00,Sep,49.27820352102721,100.68647657260249,720.2325492521,142.44780557293547,612.2990921254351,24.0,12.156982756201204,8.66,3.815,8.21,3.2034,26.2905,0.7959,31,15.318152067703444,14.455260096202563,3.203376753507014,3.815,46.30564415807285,0.792379098603167
2024-09-21 10:00:00+05:30,2024-09-21 04:30:00+00:00,Sep,35.11834771027809,108.12804326099052,791.2331360043872,164.74188620765028,811.933775286638,25.07,12.343072100431087,11.5,3.815,10.86,3.211,34.883,0.7953,31,17.652696546652127,16.668015737339942,3.2186673346693384,3.815,53.64879778753054,0.7966258527446717
2024-09-21 11:00:00+05:30,2024-09-21 05:30:00+00:00,Sep,21.87734828947673,123.30997395129828,826.8063627315576,178.33394395839957,945.5930343255799,26.04,12.435401353778358,13.4,3.815,12.66,3.2034,40.5496,0.7933,31,19.050545370350008,17.95368576600995,3.233957915831663,3.815,58.06146420134213,0.7988882404949005
2024-09-21 12:00:00+05:30,2024-09-21 06:30:00+00:00,Sep,12.861802309145219,165.7327886782956,839.9252122357021,183.9197464969768,1002.7698090279873,27.57,12.477716650466357,14.21,3.815,13.39,3.2187,43.1119,0.7952,31,19.647750917188585,18.5098783804693,3.249248496993988,3.815,60.14319450728138,0.8023781725856398
2024-09-21 13:00:00+05:30,2024-09-21 07:30:00+00:00,Sep,17.150763316261163,224.15768023142056,834.639511149705,181.62647701356036,979.149079482103,27.61,12.48417099049299,13.88,3.815,13.1,3.2187,42.1551,0.7963,31,19.418372274158568,18.299937081904176,3.249248496993988,3.815,59.46104305846169,0.8026480560306484
2024-09-21 14:00:00+05:30,2024-09-21 08:30:00+00:00,Sep,29.40508770632308,246.9279178103016,809.3599155052214,171.41087280143472,876.4944433105322,27.18,12.454621860458651,12.42,3.815,11.73,3.2263,37.854,0.7991,31,18.379665305536165,17.30626871417668,3.249248496993988,3.815,56.23236760811266,0.8019628093367169
